method,time,rms_w2,standard_error,mean_runtime_seconds
B=1,0.0,4.730922311834623,0.004067027968114956,0.03520120416667775
B=1,0.07200000000000001,4.452097415474372,0.005023519418497637,0.03520120416667775
B=1,0.148,4.215181865380482,0.004996521955119888,0.03520120416667775
B=1,0.224,4.026926607225959,0.006933174300212525,0.03520120416667775
B=1,0.3,3.871189562631248,0.007515334473105783,0.03520120416667775
B=1,0.372,3.7370454206792356,0.010623489404673178,0.03520120416667775
B=1,0.448,3.617793755983637,0.011313757017336985,0.03520120416667775
B=1,0.524,3.5102098683096044,0.012044608873305336,0.03520120416667775
B=1,0.6,3.4136760625728915,0.01199796951087822,0.03520120416667775
B=1,0.672,3.331421942222557,0.012660756616676606,0.03520120416667775
B=1,0.748,3.2512224320729537,0.011130113876808966,0.03520120416667775
B=1,0.8240000000000001,3.163889989390293,0.013358487981450846,0.03520120416667775
B=1,0.9,3.1016902095119976,0.013185861290750955,0.03520120416667775
B=1,0.972,3.0337347634981513,0.013474251722747384,0.03520120416667775
B=1,1.048,2.9599118555372246,0.01410838191271661,0.03520120416667775
B=1,1.124,2.898956777179437,0.013083163069771185,0.03520120416667775
B=1,1.2,2.838736145009115,0.011161963254662175,0.03520120416667775
B=1,1.272,2.795588589122686,0.011971806449212304,0.03520120416667775
B=1,1.348,2.7314113420552077,0.012395220120263227,0.03520120416667775
B=1,1.424,2.6646536916793226,0.013014280238154305,0.03520120416667775
B=1,1.5,2.612606757964798,0.015003875530322824,0.03520120416667775
B=1,1.572,2.5684545116861828,0.015674715991663653,0.03520120416667775
B=1,1.6480000000000001,2.5097666789265554,0.017080701392450506,0.03520120416667775
B=1,1.724,2.447904839422295,0.018315522020783955,0.03520120416667775
B=1,1.8,2.3984627904516174,0.017357431739857605,0.03520120416667775
B=1,1.872,2.3529362787977246,0.019357768572571786,0.03520120416667775
B=1,1.948,2.3112376042946607,0.020117301307689725,0.03520120416667775
B=1,2.024,2.262462286776337,0.019468346363419105,0.03520120416667775
B=1,2.1,2.2110633815608662,0.018340060824199332,0.03520120416667775
B=1,2.172,2.1696875683780195,0.016585582880309275,0.03520120416667775
B=1,2.248,2.1300539914104317,0.01714715983369533,0.03520120416667775
B=1,2.324,2.0886274862877485,0.016383098338864525,0.03520120416667775
B=1,2.4,2.0515406390610194,0.015057305844907371,0.03520120416667775
B=1,2.472,2.0092822306536644,0.013993029190752636,0.03520120416667775
B=1,2.548,1.9771606854402022,0.010987830954638652,0.03520120416667775
B=1,2.624,1.9363645648340833,0.012384224536970126,0.03520120416667775
B=1,2.7,1.8993421708855853,0.010118354650568302,0.03520120416667775
B=1,2.7720000000000002,1.857932588611154,0.009724046108429077,0.03520120416667775
B=1,2.848,1.8221517169436834,0.012642536156454557,0.03520120416667775
B=1,2.924,1.7820243329755476,0.012917871918856658,0.03520120416667775
B=1,3.0,1.7546030449787464,0.013473456987080891,0.03520120416667775
B=1,3.072,1.7168909340253216,0.013962500958148393,0.03520120416667775
B=1,3.148,1.6823811672761253,0.01586576097227895,0.03520120416667775
B=1,3.224,1.652045469455107,0.015280718329375977,0.03520120416667775
B=1,3.3000000000000003,1.626454682003161,0.017575396731384557,0.03520120416667775
B=1,3.372,1.5964487611810214,0.018523509433719568,0.03520120416667775
B=1,3.448,1.5651971483682647,0.01926108367941776,0.03520120416667775
B=1,3.524,1.5312900537201133,0.018959667369152406,0.03520120416667775
B=1,3.6,1.4944996174660061,0.01745612341759309,0.03520120416667775
B=1,3.672,1.4619480415017088,0.018318111195434243,0.03520120416667775
B=1,3.748,1.4357869469031515,0.01925588367108162,0.03520120416667775
B=1,3.8240000000000003,1.4152815365946443,0.022470970270716033,0.03520120416667775
B=1,3.9,1.3835831580307667,0.022810047034641148,0.03520120416667775
B=1,3.972,1.3577252942520746,0.020376241320390173,0.03520120416667775
B=1,4.048,1.3318634585162767,0.023966731157558957,0.03520120416667775
B=1,4.124,1.3035660446914903,0.026850965968576744,0.03520120416667775
B=1,4.2,1.2871593646767956,0.02602696972054412,0.03520120416667775
B=1,4.272,1.2645391931985017,0.02780343026286152,0.03520120416667775
B=1,4.348,1.24168086871934,0.028380553284462,0.03520120416667775
B=1,4.424,1.2133964344152728,0.03108736907149485,0.03520120416667775
B=1,4.5,1.1823309871818188,0.030604140228845552,0.03520120416667775
B=1,4.572,1.1690464187575629,0.03181013097605096,0.03520120416667775
B=1,4.648,1.1469012057466286,0.03116790330400613,0.03520120416667775
B=1,4.724,1.1300632579546905,0.0325261449599014,0.03520120416667775
B=1,4.8,1.1205277795484323,0.032422991554931,0.03520120416667775
B=1,4.872,1.0958547049136882,0.03270283283440892,0.03520120416667775
B=1,4.948,1.0707290437140653,0.030973710250672786,0.03520120416667775
B=1,5.024,1.0544346974834455,0.03005700385456887,0.03520120416667775
B=1,5.1000000000000005,1.0401625081496082,0.02898556578730045,0.03520120416667775
B=1,5.172,1.0178731706818895,0.02878015516144501,0.03520120416667775
B=1,5.248,1.003776623471294,0.028235054227505784,0.03520120416667775
B=1,5.324,0.9989789626060761,0.027810992091074134,0.03520120416667775
B=1,5.4,0.982955419414792,0.028447354579993235,0.03520120416667775
B=1,5.472,0.9636427097465781,0.027846828390919443,0.03520120416667775
B=1,5.548,0.9435961098643404,0.028168733052258168,0.03520120416667775
B=1,5.6240000000000006,0.9246599125451251,0.02796922251348092,0.03520120416667775
B=1,5.7,0.9064756781367841,0.027562108089339312,0.03520120416667775
B=1,5.772,0.8932626180644219,0.02763840773386027,0.03520120416667775
B=1,5.848,0.8736629277189282,0.02852351597813887,0.03520120416667775
B=1,5.924,0.8526588258300336,0.029011968572369453,0.03520120416667775
B=1,6.0,0.8318213957487757,0.028722953059385298,0.03520120416667775
B=4,0.0,4.73233060030666,0.006675183277513731,0.03480768000000959
B=4,0.07200000000000001,4.447532170816783,0.008094082964999758,0.03480768000000959
B=4,0.148,4.2088942897801305,0.008136109841024142,0.03480768000000959
B=4,0.224,4.0139116055853545,0.006529966303961054,0.03480768000000959
B=4,0.3,3.8575793504341016,0.008625891967389183,0.03480768000000959
B=4,0.372,3.7309906270765434,0.00963106341465775,0.03480768000000959
