dimension,rms_w2,standard_error,runtime_seconds
2,0.2511458254929285,0.023181661869334808,0.017390395375002754
4,0.3029558018380194,0.023188266698790056,0.03169646412499105
8,0.4407840381716739,0.01950178026318865,0.06049512850000838
16,0.6392685762885083,0.034845523270040216,0.118843717499999
