n_particles,rms_w2,standard_error,runtime_seconds,loglog_slope
64,0.4915169829664401,0.04558304581120003,0.005990323799983344,-0.45789832773127825
128,0.30094396883192687,0.031129510947415874,0.009636280700010501,-0.45789832773127825
256,0.27970117014395235,0.03884916899119687,0.016624679500000638,-0.45789832773127825
512,0.1751148513433551,0.019540167651326167,0.03018396439999833,-0.45789832773127825
768,0.15032293201188648,0.01725901615018485,0.044059698900014155,-0.45789832773127825
