batch_size,rms_drift_error,standard_error,runtime_seconds,loglog_slope
1,0.2409990084579951,0.002174070710364514,0.00014087244921867637,-0.5053229236004335
2,0.17327431186947886,0.003536741786439573,0.00013602121484357355,-0.5053229236004335
4,0.12754874756282542,0.0032473887459995143,0.0001332034257810477,-0.5053229236004335
8,0.08256975479058587,0.002302828731750663,0.0001320589101556635,-0.5053229236004335
16,0.060659920047356305,0.0018954788893434781,0.00013514589062513238,-0.5053229236004335
32,0.04273433650127965,0.0012985867241290135,0.00013730900781272481,-0.5053229236004335
64,0.03023222013334138,0.0008806207385209065,0.00013149848046900559,-0.5053229236004335
128,0.02117053144403025,0.0006552554078607047,0.00013783421484347969,-0.5053229236004335
256,0.014761170484879646,0.000445469299902247,0.00013617122265596748,-0.5053229236004335
