step_size,reference_step,rms_w2,standard_error,runtime_seconds,loglog_slope
0.008,0.0005,0.005151001823664083,3.6180428872230294e-05,0.06392269024998616,1.1083480820749096
0.004,0.0005,0.0026517013871642067,1.5531107545110466e-05,0.06664765508332948,1.1083480820749096
0.002,0.0005,0.0012695627935715242,7.530343383051145e-06,0.07169057650001302,1.1083480820749096
0.001,0.0005,0.0005085829372423735,2.817064109056427e-06,0.07997101091666536,1.1083480820749096
