sweep,w2_error,total_runtime_seconds
0,4.731086338532061,0.01810225199983506
1,0.9302127821082616,0.01810225199983506
2,0.127240076008087,0.01810225199983506
3,0.01717706821281006,0.01810225199983506
4,0.002318062573648096,0.01810225199983506
5,0.0003128228570867581,0.01810225199983506
6,4.221543802700559e-05,0.01810225199983506
7,5.696981685183688e-06,0.01810225199983506
8,7.688083665497551e-07,0.01810225199983506
9,1.0375078225710354e-07,0.01810225199983506
10,1.4001183813934896e-08,0.01810225199983506
11,1.889447731075464e-09,0.01810225199983506
12,2.5497554515304577e-10,0.01810225199983506
13,3.4399299416908097e-11,0.01810225199983506
14,4.618481872103515e-12,0.01810225199983506
15,6.066466232763368e-13,0.01810225199983506
16,8.058782565403802e-14,0.01810225199983506
17,9.450644944037883e-15,0.01810225199983506
18,1.2529285090315442e-15,0.01810225199983506
19,1.3238565818820347e-16,0.01810225199983506
20,1.3238565818820347e-16,0.01810225199983506
21,1.3238565818820347e-16,0.01810225199983506
22,1.3238565818820347e-16,0.01810225199983506
23,1.3238565818820347e-16,0.01810225199983506
24,1.3238565818820347e-16,0.01810225199983506
25,1.3238565818820347e-16,0.01810225199983506
