h,rms_coarse_vs_5e-4,se_coarse_vs_5e-4,rms_coarse_vs_2.5e-4,se_coarse_vs_2.5e-4,rms_5e-4_vs_2.5e-4,se_5e-4_vs_2.5e-4,reference_difference_fraction_of_refined_error
0.008,0.005198885754104566,2.9236335373390896e-05,0.005307004421577006,3.0512008296149482e-05,0.0002566740105701472,1.233492046143331e-06,0.048365139762569696
0.004,0.002640265892456888,1.7470555745815202e-05,0.0027544378976993656,1.8437866532231613e-05,0.0002559887879791679,1.916911519391002e-06,0.0929368522677464
0.002,0.001270200160412716,6.4298877849063394e-06,0.0013958632505003293,7.651389833676641e-06,0.0002557169476332853,1.2678139684036138e-06,0.18319627480817108
0.001,0.0005108047988659402,3.1229108011736497e-06,0.0006448469957930429,3.952495744559193e-06,0.00025559110231509986,1.479681263627523e-06,0.39635929760480615
